iter	Passed	Remaining
0	311	311129
1	325	162631
2	340	113178
3	355	88642
4	374	74479
5	394	65281
6	413	58698
7	430	53377
8	446	49153
9	460	45575
10	473	42607
11	487	40144
12	505	38371
13	522	36764
14	539	35400
15	554	34102
16	571	33061
17	589	32151
18	621	32086
19	639	31340
20	653	30464
21	671	29870
22	687	29205
23	707	28759
24	723	28219
25	739	27710
26	756	27260
27	772	26821
28	789	26432
29	806	26092
30	822	25697
31	836	25311
32	852	24968
33	868	24665
34	884	24395
35	904	24229
36	920	23964
37	937	23729
38	953	23492
39	972	23347
40	992	23219
41	1012	23089
42	1028	22894
43	1043	22671
44	1058	22463
45	1074	22283
46	1095	22204
47	1111	22052
48	1127	21877
49	1144	21744
50	1160	21594
51	1177	21465
52	1195	21367
53	1212	21243
54	1226	21071
55	1241	20923
56	1257	20811
57	1275	20710
58	1292	20616
59	1308	20496
60	1323	20369
61	1338	20243
62	1353	20130
63	1369	20025
64	1388	19967
65	1405	19889
66	1419	19770
67	1434	19666
68	1441	19450
69	1457	19367
70	1473	19286
71	1492	19239
72	1509	19173
73	1526	19104
74	1542	19021
75	1559	18963
76	1566	18774
77	1586	18755
78	1602	18677
79	1617	18604
80	1633	18534
81	1649	18462
82	1665	18399
83	1680	18326
84	1700	18304
85	1717	18250
86	1732	18178
87	1747	18110
88	1763	18052
89	1780	18005
90	1798	17963
91	1814	17904
92	1828	17832
93	1842	17760
94	1856	17686
95	1871	17619
96	1887	17570
97	1902	17514
98	1919	17470
99	1935	17421
100	1951	17369
101	1967	17324
102	1985	17289
103	2002	17251
104	2016	17190
105	2032	17138
106	2047	17092
107	2066	17068
108	2086	17055
109	2102	17010
110	2117	16962
111	2131	16899
112	2146	16848
113	2163	16812
114	2181	16790
115	2202	16785
116	2219	16748
117	2234	16702
118	2249	16654
119	2265	16614
120	2284	16592
121	2299	16546
122	2313	16498
123	2329	16457
124	2344	16410
125	2360	16376
126	2376	16336
127	2393	16303
128	2406	16245
129	2421	16203
130	2436	16160
131	2449	16107
132	2467	16081
133	2482	16041
134	2499	16012
135	2516	15986
136	2534	15965
137	2552	15943
138	2569	15916
139	2587	15892
140	2603	15861
141	2618	15823
142	2632	15779
143	2646	15729
144	2668	15732
145	2683	15699
146	2698	15659
147	2714	15627
148	2728	15585
149	2744	15549
150	2759	15516
151	2777	15494
152	2797	15484
153	2813	15455
154	2828	15420
155	2844	15390
156	2860	15357
157	2870	15295
158	2888	15276
159	2907	15262
160	2925	15247
161	2943	15225
162	2960	15201
163	2975	15165
164	2990	15133
165	3008	15117
166	3020	15068
167	3033	15023
168	3048	14988
169	3071	14996
170	3089	14977
171	3107	14960
172	3123	14929
173	3138	14900
174	3152	14859
175	3166	14824
176	3183	14800
177	3200	14778
178	3214	14745
179	3229	14712
180	3244	14683
181	3262	14662
182	3278	14635
183	3293	14605
184	3309	14578
185	3325	14551
186	3343	14536
187	3360	14512
188	3375	14486
189	3404	14513
190	3421	14490
191	3436	14462
192	3454	14445
193	3469	14413
194	3482	14377
195	3499	14355
196	3516	14331
197	3533	14311
198	3550	14292
199	3566	14267
200	3594	14287
201	3610	14263
202	3626	14237
203	3641	14207
204	3658	14189
205	3674	14163
206	3691	14140
207	3709	14123
208	3725	14101
209	3741	14074
210	3756	14046
211	3771	14018
212	3789	14000
213	3809	13991
214	3823	13959
215	3837	13930
216	3853	13905
217	3869	13881
218	3884	13851
219	3899	13826
220	3915	13803
221	3933	13784
222	3948	13759
223	3965	13737
224	3980	13711
225	4002	13706
226	4021	13693
227	4037	13670
228	4055	13654
229	4074	13641
230	4090	13617
231	4105	13591
232	4122	13570
233	4137	13543
234	4152	13518
235	4167	13491
236	4182	13463
237	4198	13440
238	4224	13451
239	4241	13432
240	4254	13399
241	4271	13378
242	4285	13350
243	4299	13320
244	4310	13284
245	4323	13251
246	4336	13218
247	4351	13194
248	4366	13169
249	4382	13148
250	4392	13108
251	4408	13085
252	4425	13066
253	4442	13048
254	4458	13026
255	4473	12999
256	4488	12977
257	4504	12956
258	4521	12937
259	4538	12917
260	4556	12901
261	4571	12876
262	4588	12859
263	4605	12838
264	4622	12820
265	4638	12798
266	4653	12776
267	4670	12756
268	4683	12727
269	4698	12704
270	4713	12679
271	4730	12661
272	4746	12639
273	4763	12621
274	4781	12606
275	4799	12589
276	4815	12568
277	4831	12546
278	4846	12523
279	4863	12506
280	4881	12489
281	4900	12475
282	4917	12459
283	4933	12437
284	4948	12415
285	4964	12392
286	4980	12372
287	4996	12352
288	5012	12332
289	5031	12318
290	5051	12306
291	5068	12290
292	5086	12272
293	5105	12260
294	5123	12244
295	5143	12232
296	5160	12215
297	5176	12194
298	5191	12171
299	5206	12148
300	5227	12138
301	5244	12121
302	5260	12101
303	5283	12096
304	5306	12091
305	5321	12068
306	5338	12050
307	5355	12032
308	5372	12013
309	5387	11992
310	5405	11974
311	5431	11976
312	5450	11963
313	5489	11993
314	5514	11991
315	5532	11976
316	5549	11957
317	5567	11940
318	5584	11922
319	5600	11900
320	5623	11894
321	5638	11872
322	5661	11865
323	5679	11850
324	5695	11830
325	5711	11808
326	5727	11788
327	5745	11770
328	5760	11748
329	5775	11725
330	5791	11704
331	5812	11695
332	5834	11685
333	5850	11665
334	5867	11647
335	5884	11627
336	5901	11609
337	5918	11592
338	5934	11572
339	5950	11551
340	5966	11531
341	5990	11525
342	6019	11529
343	6037	11513
344	6053	11493
345	6070	11473
346	6085	11452
347	6101	11430
348	6117	11411
349	6135	11394
350	6153	11378
351	6173	11365
352	6189	11344
353	6204	11322
354	6227	11313
355	6241	11291
356	6257	11270
357	6273	11250
358	6290	11232
359	6307	11212
360	6325	11197
361	6346	11185
362	6362	11164
363	6377	11143
364	6393	11122
365	6411	11106
366	6426	11083
367	6441	11062
368	6457	11042
369	6474	11023
370	6493	11009
371	6511	10992
372	6527	10972
373	6544	10954
374	6562	10937
375	6577	10916
376	6593	10895
377	6611	10878
378	6626	10858
379	6643	10839
380	6665	10829
381	6680	10808
382	6697	10789
383	6713	10769
384	6728	10748
385	6744	10728
386	6761	10709
387	6776	10689
388	6792	10668
389	6810	10651
390	6825	10630
391	6855	10633
392	6874	10617
393	6892	10601
394	6909	10583
395	6925	10562
396	6940	10541
397	6956	10521
398	6971	10501
399	6986	10479
400	7004	10462
401	7028	10455
402	7049	10442
403	7064	10422
404	7079	10401
405	7095	10381
406	7112	10362
407	7128	10343
408	7143	10322
409	7158	10301
410	7174	10281
411	7190	10261
412	7228	10274
413	7254	10268
